day	data	S	R	I	D	K
11	25.03.2020	12692056	15	395	2	410
12	26.03.2020	12691763	15	688	2	703
13	27.03.2020	12691763	18	685	4	703
14	28.03.2020	12691649	28	789	5	817
15	29.03.2020	12691452	28	986	6	1014
16	30.03.2020	12691240	28	1198	11	1226
17	31.03.2020	12690853	70	1543	11	1613
18	01.04.2020	12690586	115	1765	16	1880
19	02.04.2020	12689991	140	2335	19	2475
20	03.04.2020	12689543	168	2755	20	2923
21	04.04.2020	12689109	194	3163	27	3357
22	05.04.2020	12688573	198	3695	29	3893
23	06.04.2020	12687982	206	4278	29	4484
24	07.04.2020	12687285	222	4959	31	5181
25	08.04.2020	12686625	270	5571	38	5841
26	09.04.2020	12685768	313	6385	38	6698
27	10.04.2020	12684644	350	7472	50	7822
28	11.04.2020	12683614	499	8353	58	8852
29	12.04.2020	12682308	687	9471	72	10158
30	13.04.2020	12680953	837	10676	82	11513
31	14.04.2020	12679464	1016	11986	95	13002
32	15.04.2020	12677690	1205	13571	106	14776
33	16.04.2020	12676302	1394	14770	113	16164
34	17.04.2020	12674361	1517	16588	127	18105
35	18.04.2020	12671712	1679	19075	148	20754
36	19.04.2020	12668142	1763	22561	176	24324
37	20.04.2020	12666116	1838	24512	204	26350
38	21.04.2020	12663033	2057	27376	233	29433
